CpG_ID,CD4Tnv,Baso,CD4Tmem,Bmem,Bnv,Treg,CD8Tmem,CD8Tnv,Eos,NK,Neu,Mono
cg13745692,0.22184411663764408,0.9321958189298816,0.6497312272876887,0.9239914685881682,0.8328946739314178,0.701921390613622,0.9300007126553015,0.8717323173645684,0.9218158270893171,0.9333567600608316,0.9178424657071023,0.9339565828480927
cg15667493,0.3017395108186003,0.8656329513514751,0.7287983056537339,0.9194994375684964,0.9324784418871139,0.8563513094620451,0.8220258444200115,0.6544454049343282,0.9168153096476803,0.8622388921999397,0.8704480859272405,0.9094337069024977
cg21936454,0.39746657656958595,0.9685953908023115,0.9402058149818453,0.9730083043249572,0.9783690734291928,0.9501332090806613,0.9625599385043849,0.8312034598736617,0.9794946457249866,0.8815334334947474,0.9404565424602183,0.9604386307695012
cg15163862,0.3557280779109654,0.9103543946280672,0.7774939991397978,0.9214782455853114,0.9086817266041378,0.8279833969735221,0.8996355069053414,0.7869008387072653,0.9399747971193216,0.9052413948162599,0.9090480302587209,0.9198614923562248
cg19111287,0.45331990353930074,0.9515009977947709,0.7307274762265419,0.9551410458014649,0.944011833227294,0.9303401539296061,0.8780626645532604,0.8899405935307243,0.8810506256800419,0.9281844145752258,0.7693111044062813,0.8858433202244678
cg03132824,0.4027671022290546,0.9265135858634894,0.7478759558198811,0.9360113123887416,0.9248421740989461,0.9270744590219799,0.9339629457326564,0.9400029609536181,0.9290456808730136,0.9329040414614107,0.9207711497501954,0.9230769230769231
cg09119854,0.4492712712825754,0.8981517346866414,0.885693116781525,0.88535893508269,0.8998539955329354,0.8954955414351806,0.8939213095919043,0.8355385693380226,0.9142855462379071,0.9037902678415214,0.876506770402121,0.8837062828091233
cg04887735,0.43220317709802375,0.948729281297815,0.9282650701771131,0.940035839313691,0.9307832551492847,0.9589995193641269,0.945044406632124,0.6902479712942282,0.953691388765322,0.9384844246269872,0.9354954154571096,0.9403746855780926
cg08486432,0.3631633335058302,0.9048697088241476,0.7803743449663331,0.9418946198582268,0.9102823347105153,0.804946876639943,0.91204994176839,0.7254158738371062,0.9196747844716153,0.9241097918116755,0.913580870666613,0.9045014977937651
cg18578898,0.5921088013953231,0.9059400960931199,0.9150860760998801,0.9490942633930058,0.9428144936661775,0.8689884315502197,0.9349723247130084,0.8400624287663221,0.9228678083846307,0.9363514475681631,0.8646959623121265,0.9203266634445719
