CpG_ID,CD4Tnv,Baso,CD4Tmem,Bmem,Bnv,Treg,CD8Tmem,CD8Tnv,Eos,NK,Neu,Mono
cg21782213,0.20829163648551313,0.9294983904615541,0.7729825243499729,0.9615397321494246,0.9595838999108877,0.8842284917605071,0.9085673241198452,0.8963231033593233,0.9351154100446835,0.9330244446669296,0.9366568024976745,0.9422409387450429
cg10168351,0.43562804401351085,0.9262571469519227,0.904443696052565,0.9771502902074063,0.9762167006077924,0.9714419685700414,0.9699696616780987,0.9700108538821717,0.9430247485379999,0.9642954533047103,0.9660513843321874,0.9678952627652705
cg03156020,0.1695294793605993,0.8678093084586248,0.5040493806738254,0.9279122477520834,0.958031964971575,0.8116103646337302,0.74468952126166,0.6457535927995004,0.9497403113523927,0.9454822714763123,0.9554110819720887,0.9519698368943481
cg17537714,0.3287939590417661,0.9199780352532156,0.914937034016157,0.9489236460799174,0.9548390998460217,0.9347606737869092,0.9503585508511784,0.6934820958425316,0.9530789202182913,0.8990137320862839,0.9315429759198763,0.9346970262115165
cg13745692,0.22184411663764408,0.9321958189298816,0.6497312272876887,0.9239914685881682,0.8328946739314178,0.701921390613622,0.9300007126553015,0.8717323173645684,0.9218158270893171,0.9333567600608316,0.9178424657071023,0.9339565828480927
cg04200580,0.3779709153639379,0.923366228113232,0.7170418336344925,0.957920766731599,0.9705293827966541,0.8276108312094654,0.9293631521445557,0.7658983212633445,0.9483502879606078,0.883250375125261,0.9483006864220351,0.9662555634559059
cg15667493,0.3017395108186003,0.8656329513514751,0.7287983056537339,0.9194994375684964,0.9324784418871139,0.8563513094620451,0.8220258444200115,0.6544454049343282,0.9168153096476803,0.8622388921999397,0.8704480859272405,0.9094337069024977
cg21936454,0.39746657656958595,0.9685953908023115,0.9402058149818453,0.9730083043249572,0.9783690734291928,0.9501332090806613,0.9625599385043849,0.8312034598736617,0.9794946457249866,0.8815334334947474,0.9404565424602183,0.9604386307695012
cg15163862,0.3557280779109654,0.9103543946280672,0.7774939991397978,0.9214782455853114,0.9086817266041378,0.8279833969735221,0.8996355069053414,0.7869008387072653,0.9399747971193216,0.9052413948162599,0.9090480302587209,0.9198614923562248
cg19792189,0.1359380926520839,0.9717966722022116,0.5263366014901119,0.9726973202352862,0.9843516300983792,0.7272966700298078,0.5721544761362571,0.43848346162728835,0.9837708293666154,0.9652192891942086,0.963652642773871,0.9668074704439464
cg10161198,0.5211851836215211,0.9723724426187699,0.9390112018483596,0.9753431692774088,0.9631957612046136,0.9707306682301466,0.9837335220051502,0.9624487665317379,0.9600032746569326,0.9749989319557457,0.9703310943279502,0.9545923643575523
cg19111287,0.45331990353930074,0.9515009977947709,0.7307274762265419,0.9551410458014649,0.944011833227294,0.9303401539296061,0.8780626645532604,0.8899405935307243,0.8810506256800419,0.9281844145752258,0.7693111044062813,0.8858433202244678
cg05676874,0.2618820048573731,0.9138279136421149,0.5828111267561754,0.8671140933993213,0.9710526650640321,0.5785955138448531,0.6080640473648233,0.7157761467509451,0.9067399500136772,0.7958341158633122,0.9380548389449407,0.961370228443519
cg03132824,0.4027671022290546,0.9265135858634894,0.7478759558198811,0.9360113123887416,0.9248421740989461,0.9270744590219799,0.9339629457326564,0.9400029609536181,0.9290456808730136,0.9329040414614107,0.9207711497501954,0.9230769230769231
cg17518643,0.17608593774208947,0.940417949966353,0.5083682006586765,0.9641512053764045,0.9578809088588048,0.5852844447344813,0.8335393524391215,0.6838823364032802,0.5267460876414487,0.8967191295942087,0.8828678921083735,0.9012799546907703
cg09119854,0.4492712712825754,0.8981517346866414,0.885693116781525,0.88535893508269,0.8998539955329354,0.8954955414351806,0.8939213095919043,0.8355385693380226,0.9142855462379071,0.9037902678415214,0.876506770402121,0.8837062828091233
cg11778706,0.4748640337352471,0.9651848345801348,0.8938358855795934,0.9747169332039171,0.9623684447069889,0.9437051416737812,0.9489594287053036,0.8409211331015727,0.9726675016228592,0.9673094915367132,0.9694862991439068,0.9728525552482838
cg04887735,0.43220317709802375,0.948729281297815,0.9282650701771131,0.940035839313691,0.9307832551492847,0.9589995193641269,0.945044406632124,0.6902479712942282,0.953691388765322,0.9384844246269872,0.9354954154571096,0.9403746855780926
cg22324641,0.3887255014828925,0.9492259194881313,0.6280957447048705,0.9595484311153148,0.9614396555028255,0.6753610363791296,0.9421976996276347,0.9304511369030544,0.9565444323529302,0.9491407315693103,0.9449918870945646,0.948627957749268
cg08842268,0.6391271947359352,0.9048729874252829,0.9170783250255277,0.9811888408609695,0.9574917828609055,0.8870027858720738,0.9700780585483872,0.9357434348384207,0.913442879620324,0.9195250884330455,0.9424287799384998,0.9477818960736308
cg09438865,0.38309880701333815,0.8863953413523742,0.8071610379868063,0.8938504909726044,0.8415515574090713,0.7487514730819498,0.909347230397656,0.7476391745531699,0.8340885175221764,0.8761230448320542,0.8780606632453116,0.8617827234678821
cg08486432,0.3631633335058302,0.9048697088241476,0.7803743449663331,0.9418946198582268,0.9102823347105153,0.804946876639943,0.91204994176839,0.7254158738371062,0.9196747844716153,0.9241097918116755,0.913580870666613,0.9045014977937651
cg04625250,0.30742012383717077,0.8091588421117242,0.7135563083900692,0.8766495663816255,0.9020078939780918,0.5695631189389688,0.8544721830106103,0.751576146089044,0.8211861436004116,0.9204965303828362,0.9144274506125747,0.9413962752956768
cg08452021,0.20972861712229302,0.8634341051396425,0.5965594301435971,0.657270457371309,0.936620624234955,0.5994934433740804,0.6036304925437731,0.47537109032763153,0.8794155007413755,0.8577605320689907,0.9089942519323138,0.9224367876882867
cg20213624,0.34252217113533534,0.856887385460763,0.6208237836612698,0.9505942435641099,0.9559558138017141,0.9574124120051362,0.6427571269530112,0.6585408289556761,0.9404134185787936,0.9182273046653092,0.9392554148338533,0.9390586669850961
