cpg,d_GSE51057,d_GSE51032,concordant_strong,mean_abs_d
cg00002033,-0.9370206501715385,-0.1920637575183611,False,0.5645422038449498
cg00002426,-0.4369606574611838,-0.20531715778304033,False,0.32113890762211206
cg00004700,-0.23902142913946806,0.12685851390972983,False,0.18293997152459895
cg00007466,-0.6853711800699338,-0.25396766344820476,False,0.4696694217590693
cg00009750,-0.8134721960700803,0.2691727543760529,False,0.5413224752230665
cg00014203,-0.02549255394950071,0.06084787632853059,False,0.043170215139015644
cg00015530,0.7504720060535643,-0.08790110843720039,False,0.41918655724538234
cg00017461,-0.39088679752032096,-0.23118463104362091,False,0.31103571428197097
cg00018229,-0.7581081605834211,-0.9487005761894565,True,0.8534043683864387
cg00021152,-0.6728986088248501,0.04814491716645233,False,0.3605217629956512
cg00023321,-1.444087427672343,-0.5695494263700852,True,1.0068184270212142
cg00025331,0.36948865670681474,-0.39350140258332306,False,0.3814950296450689
cg00026290,-0.11447036891346865,-0.1081976711204755,False,0.11133402001697207
cg00028336,-0.8511760518874087,0.23308231274572008,False,0.5421291823165644
cg00028929,-0.39191638574849313,0.23957475508179416,False,0.3157455704151436
cg00031013,-0.12827918972698493,-0.3566895464896806,False,0.24248436810833277
cg00031187,0.12250117230032351,0.18951402117991928,False,0.15600759674012138
cg00034336,-0.3242700782711862,-0.18436175166069782,False,0.254315914965942
cg00037681,0.4249748065573078,0.6258595098339095,True,0.5254171581956086
cg00040016,-0.4778409073476455,-0.22951966171309557,False,0.35368028453037054
cg00041401,-0.15331057702935555,-0.1283003645246214,False,0.14080547077698846
cg00041575,0.419655995349157,-0.099882414215286,False,0.2597692047822215
cg00041865,-0.8339863920617712,-0.4801283108827884,True,0.6570573514722797
cg00043076,0.07962914570863266,0.09932821464453286,False,0.08947868017658275
cg00045607,-0.10923520395896896,-0.11230731019716263,False,0.11077125707806579
cg00045753,-0.4066078304632991,-0.13101187447578388,False,0.2688098524695415
cg00047683,-0.219798105326129,-0.21527613430918294,False,0.21753711981765597
cg00048743,-0.07668647025301452,-0.13616650218061774,False,0.10642648621681614
cg00051307,-0.15440482557944024,-0.0518153222759038,False,0.10311007392767202
cg00055073,-0.1312120710458941,-0.2981425904682351,False,0.2146773307570646
cg00057966,-0.08198392727887267,-0.18697339665154503,False,0.13447866196520886
cg00058291,0.18817881395422445,0.016063110216295667,False,0.10212096208526006
cg00058449,-0.21435356420444987,-0.44381317274606624,False,0.32908336847525804
cg00058887,0.08135742777940905,-0.08078359132326687,False,0.08107050955133796
cg00067884,-1.2073317715251943,-0.6677769548678595,True,0.9375543631965269
cg00070899,-0.6501269376727047,-0.07801568314726265,False,0.36407131040998364
cg00075967,-0.4570260556803673,-0.2429717816773311,False,0.3499989186788492
cg00078348,0.5580071185755697,0.18728843525253835,False,0.37264777691405404
cg00081602,-0.7804423179621909,0.028462715052114652,False,0.40445251650715275
cg00082235,-0.09624784993348363,-0.639814407168261,False,0.36803112855087233
cg00090674,-0.7566168880890259,-0.1583996499713544,False,0.45750826903019015
cg00092400,-0.3032621668538085,0.05565459717876596,False,0.17945838201628725
cg00098182,-0.27141772032213723,0.16550981519368135,False,0.2184637677579093
cg00100680,-0.7174427250098095,-0.38220251835179825,True,0.5498226216808039
cg00101602,-0.5847729957011115,-0.13732006279308728,False,0.3610465292470994
cg00118342,-0.07594875319339486,-0.2900829417664333,False,0.18301584747991406
cg00130808,-0.4195604624323581,-0.5502320732144411,True,0.4848962678233996
